question,answer,source,language,url
What is the role of IRDAI in regulating insurance in India?,"IRDAI (Insurance Regulatory and Development Authority of India) is the apex regulatory body for the insurance sector in India, established under the IRDAI Act, 1999. Its key functions include: issuing certificates of registration to insurance companies, protecting policyholder interests, specifying the code of conduct for surveyors and loss assessors, promoting efficiency in the conduct of insurance business, and regulating investment of funds by insurance companies.",IRDAI,en,https://irdai.gov.in
What is the difference between life insurance and general insurance?,"Life insurance provides financial protection against the risk of death or disability of the insured person. It includes term plans, endowment plans, ULIPs, and pension plans. General insurance (also called non-life insurance) covers all other risks including health, motor, home, travel, and commercial insurance. In India, life insurance companies are regulated separately from general insurance companies, both under IRDAI. Life insurance premiums are typically paid annually, while general insurance is renewed yearly.",IRDAI,en,https://irdai.gov.in
What is the surrender value of a life insurance policy?,"The surrender value is the amount an insurance company pays to a policyholder if they decide to terminate the policy before its maturity date. There are two types: Guaranteed Surrender Value (GSV), which is a minimum amount guaranteed by the insurer, and Special Surrender Value (SSV), which may be higher based on the insurer's bonus declarations. A policy acquires surrender value only after paying premiums for at least 3 years. IRDAI regulates surrender value norms to protect policyholders.",IRDAI,en,https://irdai.gov.in
जीवन बीमा क्या है और यह क्यों महत्वपूर्ण है?,"जीवन बीमा बीमाकर्ता और पॉलिसीधारक के बीच एक अनुबंध है जिसमें बीमाकर्ता बीमित व्यक्ति की मृत्यु पर नामांकित लाभार्थियों को मृत्यु लाभ का भुगतान करने की गारंटी देता है। भारत में जीवन बीमा IRDAI द्वारा विनियमित है। यह बीमित व्यक्ति के परिवार को वित्तीय सुरक्षा प्रदान करता है। मुख्य प्रकारों में टर्म इंश्योरेंस, संपूर्ण जीवन बीमा, एंडोमेंट प्लान और ULIP शामिल हैं।",IRDAI,hi,https://irdai.gov.in
स्वास्थ्य बीमा क्या है और इसमें क्या शामिल है?,"स्वास्थ्य बीमा एक प्रकार का बीमा है जो बीमारी या चोट के कारण होने वाले चिकित्सा खर्चों को कवर करता है। भारत में स्वास्थ्य बीमा पॉलिसियां IRDAI द्वारा विनियमित हैं। कवरेज में आमतौर पर अस्पताल में भर्ती खर्च, अस्पताल में भर्ती से पहले और बाद के खर्च, डे-केयर प्रक्रियाएं और एम्बुलेंस शुल्क शामिल हैं। आयुष्मान भारत PM-JAY योजना आर्थिक रूप से कमजोर परिवारों को प्रति वर्ष 5 लाख रुपये तक का स्वास्थ्य कवरेज प्रदान करती है।",IRDAI,hi,https://irdai.gov.in
मोटर बीमा क्या है और क्या यह भारत में अनिवार्य है?,"मोटर बीमा एक पॉलिसी है जो यातायात दुर्घटनाओं से होने वाले भौतिक नुकसान या शारीरिक चोट के खिलाफ वित्तीय सुरक्षा प्रदान करती है। भारत में मोटर वाहन अधिनियम, 1988 के तहत तृतीय-पक्ष मोटर बीमा अनिवार्य है। व्यापक मोटर बीमा अतिरिक्त रूप से स्वयं के नुकसान को कवर करता है। IRDAI मोटर बीमा प्रीमियम और दावा निपटान प्रक्रियाओं को विनियमित करता है।",IRDAI,hi,https://irdai.gov.in
Explain: Most of the time we feel that Loan is free money and end up ?,Most of the time we feel that Loan is free money and end up spending without any control.,NCFE,en,https://www.ncfe.org.in
Explain: Financial Education Programme for Adults (FEPA) was launched?,"The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness among the adult population such as Farmers, Women groups, Asha Workers, Anganwadi Workers, Self Help Groups, Employees of Organization, Skill Development Trainees etc., This programme is conducted in line with the targets of National Strategy for Financial Education and the focus have been given to Special Focused Districts (SFDs). This programme expects to substantially contribute to ’s vision of a “Financially aware and empowered India”.",NCFE,en,https://www.ncfe.org.in
Explain: FETP is an initiative of the for providing unbiased personal?,"FETP is an initiative of the for providing unbiased personal financial education to people and organizations for improving financial literacy in the country. has been conducting FETP for school-teachers, who are teaching students in classes 6 to 10 across India. The program, based on two pillars; education and awareness, aims to establish a sustainable financial literacy campaign that can empower people’s lives. After completion of the training, these teachers would be certified as ‘Money Smart Teachers’ and would facilitate the conduct of financial education classes in schools and encourage students to obtain basic financial skills.",NCFE,en,https://www.ncfe.org.in
"Explain: Globally, youth are becoming financial consumers earlier in ?","Globally, youth are becoming financial consumers earlier in their lives than ever before and making financial decisions (credit cards, education loans) that can have lasting consequences, if not well managed.",NCFE,en,https://www.ncfe.org.in
Explain: is an initiative of the to provide unbiased financial educat?,This is an initiative of the to provide unbiased financial education in schools for improving financial literacy which is an important life skill for the holistic development of each student. The program is based on two pillars; education and awareness and aims to establish a sustainable financial literacy campaign that will empower an entire generation.,NCFE,en,https://www.ncfe.org.in
Explain: Financial literacy is a core life skill that focuses on know?,"Financial literacy is a core life skill that focuses on knowledge, behaviour and attitude required to make responsible money management decisions. In 2005, the OECD recommended that financial education start as early as possible and be taught in schools.",NCFE,en,https://www.ncfe.org.in
Explain: E-learning Course is offered free of charge to all the regis?,"The E-learning Course is offered free of charge to all the registered users. This course will give users a solid knowledge base on disseminating financial literacy, which helps to address demand-side barriers as this makes customers informed and enables better financial decision making and ultimately financial wellbeing.",NCFE,en,https://www.ncfe.org.in
Explain: To create financial awareness which will generate confidence?,To create financial awareness which will generate confidence in the financially excluded sections of the society to use the financial services and products more effectively thereby bringing more people to the formal financial sector,NCFE,en,https://www.ncfe.org.in
Explain: program specifically designed to provide financial education?,"A program specifically designed to provide financial education to young graduates and postgraduates. This program covers topics relevant to this demographic, aiming to positively impact their financial well-being.",NCFE,en,https://www.ncfe.org.in
Explain: foremost benefit for schools implementing the Money Smart Sc?,The foremost benefit for schools implementing the Money Smart School program is that their students after becoming financially literate will be better equipped to deal with today’s complex financial products and services and exhibit prudent behaviour and attitude when it comes to managing their own money.,NCFE,en,https://www.ncfe.org.in
Explain: FETP is specifically designed for school teachers handling c?,"FETP is specifically designed for school teachers handling classes 6 to 10 throughout India. The program is built on two foundational pillars: education and awareness, intending to establish a sustainable financial literacy campaign that can positively impact people’s lives.",NCFE,en,https://www.ncfe.org.in
Explain: course will give users a solid knowledge base on disseminati?,"This course will give users a solid knowledge base on disseminating financial literacy, which helps to address demand-side barriers as this makes customers informed and enables better financial decision making and ultimately financial wellbeing.",NCFE,en,https://www.ncfe.org.in
"Explain: Expression of Interest (EoI) for Design, Development, Implem?","Expression of Interest (EoI) for Design, Development, Implementation and Maintenance of Interactive Financial Literacy Mobile Games for",NCFE,en,https://www.ncfe.org.in
Explain: invites your feedback/suggestions for formulation the Nation?,invites your feedback/suggestions for formulation the National Strategy for Financial Education (NSFE),NCFE,en,https://www.ncfe.org.in
Explain: Corrigendum to RFP – Engagement of a Supplier to Conduct a H?,Corrigendum to RFP – Engagement of a Supplier to Conduct a Hackathon for Ideation of Interactive Financial Literacy Games,NCFE,en,https://www.ncfe.org.in
Explain: I have very sincerely attended Financial Education Program o?,I have very sincerely attended Financial Education Program on 25/09/2021 and conducted by and very carefully listened advices of the Resource person since the begenning of session till the end. The impact of FE Program conducted by is very immense & cannot be measured & I take pride in saying that I have […],NCFE,en,https://www.ncfe.org.in
Explain: I took part in a financial education workshop organized rece?,"I took part in a financial education workshop organized recently by , it had helped me & my family to come out from financial distress. I have learnt importance of budgeting, savings and planned investment. Earlier I had one cow giving 5-6 liter milk per day. Now I have purchased 2 more cows giving 15-20 […]",NCFE,en,https://www.ncfe.org.in
"Explain: I Nikhil Sushil, living in Palappuram, a small village of Pa?","I Nikhil Sushil, living in Palappuram, a small village of Palakkad District, Kerala, is a student of Laksmi Narayana Arts and Science college Mayannur – Kerla. He has undergone ’s Financial Education programme which helped him to understand the necessity of opening a saving account and need to save money for future Needs. I personally […]",NCFE,en,https://www.ncfe.org.in
"What is Hello there, I’m Sanjeevi R?","Hello there, I’m Sanjeevi R. a student from KIT – Kalaighnarkar Karunanidhi Institute of Technology, Coimbatore. I learned from program the importance of investments and savings for future. I also realised my family members and I must be insured to Financially protect ourselve against any unforeseen event. Before this workshop I had no idea […]",NCFE,en,https://www.ncfe.org.in
What is Chetna Kumre is resident of Sitatola village?,Chetna Kumre is resident of Sitatola village. This village has sent percent primitive tribes (Madia-gond) population. Chetna Kumre is Chairperson of Mahavaishavi Mahila Bachat Gat in the village itself. She runs a small grocery shop at the porch of her small house. There is village around Sitatola. At the distance of 2 Km is the […],NCFE,en,https://www.ncfe.org.in
"Explain: Nikki is a young woman from Bahedeki, a remote village in Sa?","Nikki is a young woman from Bahedeki, a remote village in Saharanpur district’s Baliakheri Block in Uttar Pradesh. She took part in a financial education workshop organised recently by (), which was, in her own words, a life-changing experience. “I learned the importance of budgeting, savings and planned investment. I […]",NCFE,en,https://www.ncfe.org.in
"Explain: Thanks to , Mumbai for conducting teacher’s training program?","Thanks to , Mumbai for conducting teacher’s training programme at our Stree Sudhan Girls Inter College Bareilly. It has really been an unprecedented Financial Education Program never done before consequent upon which , I was so motivated and felt that I should spread the same content to my girls students […]",NCFE,en,https://www.ncfe.org.in
"Explain: Mathura Harijan, is a school teacher who stays in Nandahandi?","Mathura Harijan, is a school teacher who stays in Nandahandi Block of Nabarangpur District, Odisha. He attended the financial education workshop conducted by resource person. The programme was specially conducted in local language so as to make the local tribal people understand more about financial education and government schemes in financial sector. After attending […]",NCFE,en,https://www.ncfe.org.in
Explain: is said “You only become strong when you don’t have a choice?,"It is said “You only become strong when you don’t have a choice”. Here is how Nitaben Makwana had an experience of the same. Nitaben, a regular housewife looking after daily household chores and taking care of kids. Her husband was working in a company at Dubai and life was all good for a typical […]",NCFE,en,https://www.ncfe.org.in
"Explain: outcome of the process of Financial Education, empowers the ?","An outcome of the process of Financial Education, empowers the users of financial services to make informed decisions regarding financial services and products. Financial Literacy can be viewed as the first step towards ensuring the achievement of comprehensive Financial Inclusion. Financial Inclusion is a necessity, which needs to be prioritized to ensure that the fruits of development become easily accessible to every stratum of society. Financial literacy, in that sense, is considered as an important adjunct for promoting financial inclusion, financial development, financial stability and ultimately financial well-being of individuals",NCFE,en,https://www.ncfe.org.in/financial-literacy
"Explain: Financial Education Handbook contains various topics, which ?","This Financial Education Handbook contains various topics, which create financial awareness that is aimed at generating confidence in the financially undereducated and underserved sections of the society. This handbook will also enable the readerto use the financial services and products more effectively, thereby enabling more people to optimally use financial services provided by the formal financial sector.",NCFE,en,https://www.ncfe.org.in/financial-literacy
Explain: content of this handbook will empower the underserved sectio?,"The content of this handbook will empower the underserved sections of the population to fully comprehend and access a wide range of financial products and services like a basic savings bank account, need-based credit, remittances facility, investment options, insurance and pension. With the surge in technological innovations, coupled with the penetration and entrenchment of technology in our lives, it is hard to dissociate financial services from digitalization. This handbook provides an introduction to the world of Digital Financial Services. This handbook is also expected to guide readers on various social security schemes and other financial schemes provided by the government of India.",NCFE,en,https://www.ncfe.org.in/financial-literacy
Explain: Please visit here to download the Financial Education workbo?,Please visit here to download the Financial Education workbook in English or other regional languages,NCFE,en,https://www.ncfe.org.in/financial-literacy
"Explain: (), in collaboration with the Indian Institute of Banking Ma?","The (), in collaboration with the Indian Institute of Banking Management (IIBM), Guwahati, is organizing a one-day Principals’ Conclave on the theme “Integration of Financial Education in School Curriculum” for the principals of North Eastern states. The conclave aims to sensitize principals on the importance of integrating financial education into the school curriculum, emphasizing its role as an essential life skill for the holistic development of students. The inaugural session will be addressed by Shri Alok Chandra Jena, CEO of , Smt. Sushmita Phukan, Regional Director for North Eastern States, RBI, and Shri Eugene Emmanuel Karthak, Director of IIBM. Following the inaugural addresses, there will be thematic sessions led by officials from , RBI, and IIBM. More than 50 principals from the North East Region are expected to attend this event, highlighting the importance of this initiative in promoting financial literacy and education across schools in the region.",NCFE,en,https://www.ncfe.org.in/financial-education
What is UPI (Unified Payments Interface)?,"UPI (Unified Payments Interface) is a real-time payment system developed by the National Payments Corporation of India (NPCI) that enables instant money transfers between bank accounts through a mobile platform. UPI works 24/7, 365 days a year. It uses a Virtual Payment Address (VPA) like name@bank to identify users. UPI processed over 10 billion transactions per month in 2024, making it the world's largest real-time payment system.",NPCI,en,https://www.npci.org.in
What is RuPay card and how is it different from Visa and Mastercard?,"RuPay is India's domestic card payment network developed by NPCI. It is an alternative to international card networks like Visa and Mastercard. RuPay cards are accepted at all ATMs, POS terminals, and e-commerce websites in India. RuPay cards have lower transaction fees compared to international networks, making them more affordable for banks and merchants. RuPay also offers contactless payment through RuPay contactless cards.",NPCI,en,https://www.npci.org.in
What is NACH (National Automated Clearing House)?,"NACH (National Automated Clearing House) is a centralised system launched by NPCI that facilitates high-volume, repetitive, and periodic interbank transactions. It is used for bulk transactions like salary payments, pension disbursements, dividend payments, and EMI collections. NACH has two variants: NACH Credit (for bulk credit transactions) and NACH Debit (for recurring debit mandates like loan EMIs and insurance premiums).",NPCI,en,https://www.npci.org.in
What is BBPS (Bharat Bill Payment System)?,"Bharat Bill Payment System (BBPS) is an integrated bill payment system operated by NPCI that offers interoperable and accessible bill payment services to customers across India. It covers utility bills like electricity, water, gas, telecom, and DTH. BBPS provides a single platform for all bill payments with instant confirmation. Customers can pay bills through multiple channels including internet banking, mobile apps, bank branches, and agent outlets.",NPCI,en,https://www.npci.org.in
What is the transaction limit for UPI payments?,"The transaction limit for UPI payments is Rs. 1 lakh per transaction for most banks. However, for specific categories like capital markets, collections, insurance, and foreign inward remittances, the limit is Rs. 2 lakhs per transaction. For IPO applications and RBI retail direct, the limit is Rs. 5 lakhs. The daily transaction limit varies by bank but is typically Rs. 1 lakh. These limits are set by NPCI and individual banks.",NPCI,en,https://www.npci.org.in
What is IMPS (Immediate Payment Service)?,"IMPS (Immediate Payment Service) is an instant interbank electronic fund transfer service through mobile phones developed by NPCI. It is available 24/7, 365 days a year. IMPS can be used to transfer funds using mobile number and MMID (Mobile Money Identifier), account number and IFSC code, or Aadhaar number. The transaction limit for IMPS is Rs. 5 lakhs per transaction. IMPS charges are typically Rs. 5-15 per transaction.",NPCI,en,https://www.npci.org.in
What is FASTag and how does it work?,"FASTag is an electronic toll collection system in India operated by NPCI. It uses Radio Frequency Identification (RFID) technology to enable automatic deduction of toll charges while the vehicle is in motion. FASTag is affixed to the windscreen of the vehicle and linked to a prepaid account or bank account. Since February 2021, FASTag has been mandatory for all four-wheelers in India. It reduces waiting time at toll plazas and promotes cashless transactions.",NPCI,en,https://www.npci.org.in
What is Aadhaar-enabled Payment System (AePS)?,"Aadhaar-enabled Payment System (AePS) is a bank-led model developed by NPCI that allows online interoperable financial transactions at Point of Sale (PoS) through the Business Correspondent (BC) of any bank using Aadhaar authentication. AePS enables basic banking services like cash withdrawal, cash deposit, balance enquiry, and fund transfer using Aadhaar number and biometric authentication. It is particularly useful for financial inclusion in rural areas.",NPCI,en,https://www.npci.org.in
How do I register for UPI and create a VPA?,"To register for UPI, download any UPI-enabled app (like BHIM, PhonePe, Google Pay, or your bank's app) from the app store. Link your bank account by entering your debit card details and setting a UPI PIN. A Virtual Payment Address (VPA) like yourname@bankname is automatically created. You can also create a custom VPA. The UPI PIN is a 4 or 6 digit number used to authorise transactions. Never share your UPI PIN with anyone.",NPCI,en,https://www.npci.org.in
What should I do if a UPI transaction fails but money is debited?,"If a UPI transaction fails but money is debited from your account, the amount is typically auto-reversed within 2-3 business days as per NPCI guidelines. If the reversal does not happen, you can raise a complaint through the UPI app used for the transaction, contact your bank's customer care, or file a complaint on the NPCI website. NPCI mandates that banks resolve UPI transaction disputes within 5 business days.",NPCI,en,https://www.npci.org.in
What is BHIM (Bharat Interface for Money)?,"BHIM (Bharat Interface for Money) is a UPI-based mobile payment app developed by NPCI and launched by the Government of India in December 2016. It allows users to make simple, easy, and quick payment transactions using UPI. BHIM supports all Indian banks and allows fund transfers using VPA, account number + IFSC, or QR code. BHIM also supports USSD-based payments for feature phones without internet connectivity.",NPCI,en,https://www.npci.org.in
UPI (यूनिफाइड पेमेंट्स इंटरफेस) क्या है?,"UPI (यूनिफाइड पेमेंट्स इंटरफेस) एक रियल-टाइम भुगतान प्रणाली है जिसे नेशनल पेमेंट्स कॉर्पोरेशन ऑफ इंडिया (NPCI) ने विकसित किया है। यह मोबाइल प्लेटफॉर्म के माध्यम से बैंक खातों के बीच तत्काल धन हस्तांतरण को सक्षम बनाता है। UPI 24/7, 365 दिन काम करता है। यह उपयोगकर्ताओं की पहचान के लिए name@bank जैसे वर्चुअल पेमेंट एड्रेस (VPA) का उपयोग करता है। 2024 में UPI ने प्रति माह 10 अरब से अधिक लेनदेन संसाधित किए।",NPCI,hi,https://www.npci.org.in
RuPay कार्ड क्या है और यह Visa और Mastercard से कैसे अलग है?,"RuPay भारत का घरेलू कार्ड भुगतान नेटवर्क है जिसे NPCI ने विकसित किया है। यह Visa और Mastercard जैसे अंतर्राष्ट्रीय कार्ड नेटवर्क का एक विकल्प है। RuPay कार्ड भारत के सभी ATM, POS टर्मिनल और ई-कॉमर्स वेबसाइटों पर स्वीकार किए जाते हैं। RuPay कार्ड में अंतर्राष्ट्रीय नेटवर्क की तुलना में कम लेनदेन शुल्क होता है, जिससे बैंकों और व्यापारियों के लिए यह अधिक किफायती है।",NPCI,hi,https://www.npci.org.in
NACH (नेशनल ऑटोमेटेड क्लियरिंग हाउस) क्या है?,"NACH (नेशनल ऑटोमेटेड क्लियरिंग हाउस) NPCI द्वारा शुरू की गई एक केंद्रीकृत प्रणाली है जो उच्च-मात्रा, दोहराव वाले और आवधिक इंटरबैंक लेनदेन की सुविधा देती है। इसका उपयोग वेतन भुगतान, पेंशन वितरण, लाभांश भुगतान और EMI संग्रह जैसे बल्क लेनदेन के लिए किया जाता है। NACH के दो प्रकार हैं: NACH क्रेडिट और NACH डेबिट।",NPCI,hi,https://www.npci.org.in
The main thrust of new NBFC policy is to supervise closely the NBFCs accepting public deposit. Whether the NBFCs not accepting/holding public deposit are exempted from the statutory requirement of Registration with RBI ?,"All the NBFCs are required to seek Registration with RBI irrespective of whether they accept public deposits or not. However, certain types of financial companies viz., insurance companies, housing finance companies, stock broking companies, chit fund companies, companies notified as `nidhis under section 620A of the Companies Act and the companies engaged in merchant banking activities (subject to certain conditions), have been exempted from the requirement of Registration under the Reserve Bank of India Act.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
"A new company cannot commence business until it has been granted a Certificate of Registration by the Reserve Bank of India. However, the basic eligibility criterion for Registration of a new NBFC is that it should have minimum Net Owned Fund (NOF) of Rs. 25.00 lakhs. What use could the company make of the idle funds until it is granted the certificate of registration by RBI ?",The company can keep its capital funds invested in any type of deposits with a bank until it is granted a Certificate of Registration by RBI enabling it to commence its business as a financial institution. Investment in any other type of securities will attract the provisions of section 45-I(c) of the RBI Act.,RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
"Some of the companies which were in existence on January 9, 1997 could not submit their Application for Registration before the due date i.e. July 8, 1997. Whether these companies can carry on their business ?","All the NBFCs which were incorporated before January 9, 1997 were required to submit their Application for Registration with RBI within 6 months i.e. by July 8, 1997. The companies which failed to make such an application cannot carry on their business of a financial institution. Any violation of this provision would render the companies and their management liable for penal action under the provisions of Reserve Bank of India Act, 1934.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
"Whether under-provisioning or non-provisioning against the non-performing advances and/or decline in the value of investments as per the provisioning requirements of the Non-Banking Financial Companies Prudential Norms (Reserve Bank) Directions, 1998 should be reduced from the Owned Fund before computing the Net Owned Fund of the company, for the purpose of Registration?","Yes. To the extent provisions have not been made against any asset, as required under the Prudential Norms Directions or assessed by the Management, Auditor of the Company or an Inspecting Officer of the Reserve Bank of India, the asset can be considered to be intangible asset. Although the entire asset against which the provisions have not been made does not become intangible asset, the amount of provision required to be made as per the Prudential Norms Directions should be deducted from the Owned Fund of the Company to determine the Net Owned Fund of Rs. 25.00 lakhs required for Registration under the RBI Act. Definition of public deposits Q 5. Are the following types of deposits included in the definition of public deposit? Unsecured debentures Inter-Corporate Deposits (ICDs) Money received in trust Security deposits from employees Equated Monthly Investments (EMI) received in advance against lease/hire purchase finance. Unsecured debentures issued to the shareholders by a public limited company and to the general members of public by public and private limited companies are included in the definition of `public deposit. However, unsecured debentures issued to other companies and banks/all India financial institutions are not public deposit. The money received in trust is no longer an exempted borrowing and hence forms part of the public deposit. However, other borrowings by way of ICDs, security deposits from employees (provided these are deposited in an account with a bank or a post office, jointly with the employee) and advance receipt of lease or hire purchase instalments, are exempted borrowings and hence fall outside the purview of public deposit.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
Whether deposits received from relatives and friends of the directors are reckoned as public deposits?,"Money received by a private limited NBFC from relatives and friends of directors who are not its shareholders, is public deposit. In the case of public limited companies, the deposits received from shareholders also are public deposit.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
What is the status of optionally fully convertible debentures in `public deposits?,"A. Optionally Fully Convertible Debentures (OFCDs), which were brought within the purview of Regulations in the year 1996, have now (in 1998) been taken out of the Regulations. Any money raised by issue of OFCDs is not to be treated as public deposit.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
Whether secured debentures could be partly secured for the purpose of exemption from NBFC Directions ? What happens if the value of security behind the secured debentures declines after the date of issue ?,"For the purpose of exemption from NBFC Directions, (1998) on Acceptance of Public Deposits, the debentures are required to be fully secured on the date of issue and to the fullest satisfaction of the trustees.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
The deposits from a foreign citizen are not to be treated as public deposit. What is the status of the deposits from an NRI ?,"An NRI can be an Indian national or a foreign national of Indian origin. If the depositor is an NRI holding a foreign passport, he is to be treated as foreign national despite the fact he is of Indian origin. It is for the depositor to disclose to the company that he is a foreign citizen and for the company to keep on its record an evidence that it had received deposit from a foreign citizen to claim the exemption from the Non-Banking Financial Companies (Reserve Bank) Directions, 1998 on Acceptance of Public Deposits.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
Whether External Commercial Borrowings (ECBs) are exempted borrowings i.e. outside the purview of public deposit ?,"Subject to the Exchange Control Regulations, the NBFCs can receive external commercial borrowings from foreign Overseas Corporate Bodies, individuals, FIIs, and other trusts or persons. The moneys received from all these sources are excluded from the definition of public deposit as per the provisions of NBFC Directions. However, Indian companies are required to obtain prior approval of the Exchange Control Department for acceptance of deposits from non-residents. Exemptions to the companiesnot accepting public deposits",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
"The companies not accepting public deposits and engaged in leasing, hire purchase finance, loan and general investment activities have been exempted from the requirement of capital adequacy but asked to comply with other prudential norms. Why ?","The prudential norms relating to income recognition, accounting standards, asset classification, provisioning against bad and doubtful debts are the norms which have a bearing on disclosure of true and fair picture of the financial health of the NBFC. These companies normally borrow from other corporate bodies as also from banks and financial institutions. These are also the companies which may commence accepting public deposits at short notice. It is necessary that their Balance Sheets on which all the lenders would rely should be transparent and clean, else these companies would be able to inflate their profits and conceal the decline in the value of their investments as also unprovided NPAs. Such companies might turn out to be potential defaulters in servicing their borrowings from the financial system. The exemptions from capital adequacy and credit/ investment concentration norms have been given because public deposits are not involved.",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
Core investment companies are required to comply with three basic conditions. What happens if a company complies with two of the three conditions ?,"The investment companies which have at least 90 per cent of their total assets (not total investments alone) in the securities issued by their group/subsidiary/holding companies are the core investment companies. The other two conditions are that they should not accept public deposits and should not trade in these shares. All the three conditions are required to be complied with fully. If any company fails to comply with even one of these three conditions, it is not entitled to the total exemptions from the provisions of Reserve Bank Directions on Acceptance of Public Deposits and Prudential Norms. In such a situation, the company would fall either in the category of public deposit taking company (if it has accepted public deposits) and be subject to all the regulations of RBI or in the category of general investment company and be subject to prudential norms to the extent these are applicable to it. Net owned fund",RBI,en,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=3
