question,language,difficulty,raw_answer,prompted_answer,lora_answer,winning_ticket_answer,reference_answer
What is Duration?,en,hard,"Duration is the time that a given resource is available to a user.
#",Duration is the time frame which banks need to make repayments to borrowers.,"The duration of the loan term is fixed. The loan term is the length of time for which you are able to repay the loan with your own funds. It can be stated that you can repay the loan in a month, year, half year or a year, or even in the life of the loan. The duration is determined by the loan amount and the amount of the loan. If the loan is repaid by the full interest you owe, the term of the loan can be extended. The loan term can be extended indefinitely or for a period of time. The",Duration is the number of hours you need to spend in a particular activity to see a picture.,"27.1 Duration (also known as Macaulay Duration) of a bond is a measure of the time taken to recover the initial investment in present value terms. In simplest form, duration refers to the payback period of a bond to break even, i.e., the time taken for a bond to repay its own purchase price. Duration is expressed in number of years. A step by step approach for working out duration is given in the Box IV below. Calculation for Duration First, each of the future cash flows is discounted to its respective present value for each period. Since the coupons are paid out every six months, a single period is equal to six months and a bond with two years maturity will have four time periods. Second, the present values of future cash flows are multiplied with their respective time periods (these are the weights). That is the PV of the first coupon is multiplied by 1, PV of second coupon by 2 and so on. Third, the above weighted PVs of all cash flows is added and the sum is divided by the current price (total of the PVs in step 1) of the bond. The resultant value is the duration in no. of periods. Since one period equals to six months, to get the duration in no. of year, divide it by two. This is the time period within which the bond is expected to pay back its own value if held till maturity. Illustration: Taking a bond having 2 years maturity, and 10% coupon, and current price of ₹101.79, the cash flows will be (prevailing 2 year yield being 9%): Duration in number of periods = 379.28/101.79 = 3.73 Duration in years = 3.73/2 = 1.86 years More formally, duration refers to: The weighted average term (time from now to payment) of a bond's cash flows or of any series of linked cash flows. The higher the coupon rate of a bond, the shorter the duration (if the term of the bond is kept constant). Duration is always less than or equal to the overall life (to maturity) of the bond. Only a zero coupon bond (a bond with no coupons) will have duration equal to its maturity. What is Modified Duration? 27.2 Modified duration (MD) is a modified version of Macaulay Duration. It refers to the change in value of the security to one per cent change in interest rates (Yield). The formula is Illustration In the above example given in Box IV, MD = 1.86/(1+0.09/2) = 1.78 Duration is useful primarily as a measure of the sensitivity of a bond's market price to interest rate (i.e., yield) movements. It is approximately equal to the percentage change in price for one percent change in yield. For example the duration is the approximate percentage by which the value of the bond will fall for a 1% per annum increase in market interest rate. So, a 15-year bond with a duration of 7 years would fall approximately 7% in value if the interest rate increased by 1% per annum. In other words, duration is the elasticity of the bond's price with respect to interest rates. This ignores convexity explained in para 24.7 What is PV 01? 27.3 PV01 describes the actual change in price of a bond if the yield changes by one basis point (equal to one hundredth of a percentage point). It is the present value impact of 1 basis point (0.01%) (1%=100 bps) movement in interest rate. It is often used as a price alternative to duration (a time measure). Higher the PV01, the higher would be the volatility (sensitivity of price to change in yield). Illustration From the modified duration (given in the illustration under 27.2), we know that the security value will change by 1.78% for a change of 100 basis point (1%) change in the yield. In value terms that is equal to 1.78*(101.79/100) = ₹ 1.81. Hence the PV01 = 1.81/100 = ₹0.018, which is 1.8 paise. Thus, if the yield of a bond with a Modified Duration of 1.78 years moves from say 9% to 9.05% (5 basis points), the price of the bond moves from ₹101.79 to ₹101.70 (reduction of 9 paise, i.e., 5x1.8 paise). What is Convexity? 27.4 Calculation of change in price for change in yields based on duration works only for small changes in yields. This is because the relationship between bond price and yield is not strictly linear. Over large variations in yields, the relationship is curvilinear i.e., the reduction in option free bond price is less than the change calculated based only on duration for yield increase, and increase in option free bond price will be more than the change calculated based only on duration for yield decrease. This is measured by a concept called convexity, which is the change in duration of a bond due to change in the yield of the bond."
Can you repay your loan ahead of schedule? Is pre-payment of loan allowed?,en,hard,"Pre-payment of loan is allowed. If you are not satisfied with the loan amount or are not satisfied with the loan terms, you can request a refund. If you are not satisfied with the payment amount, you can request a full refund.
#",Yes. Pre-payment of loans is allowed when you are able to repay it on time. But you need to contact your bank to get your pre-payment as soon as possible.,"Yes. The loan under this Scheme is repaid in advance of the scheduled repayment date and the interest rate is fixed at 3.50 per cent. This is applicable to the loan amount and the maximum amount of loan. The interest over the loan is fixed at 3.50 per cent per annum and is payable on the date of repayment. However, the interest on a loan in excess of the sum of NIS (Rs. 1 lakh) can be paid on the day of the repayment. However, the loan is only repa","Yes, you can.
What is the most important factor in selecting the right lender?
### Answer: The most important factor is your credit rating, history of credit and your ability to pay back the loan.
You will need to check your credit history and history of credit before you apply for a loan. The next step is to determine where your credit score will be.
### Answer: It is important that you have your credit score checks done by a reputable authority.","Yes, most banks allow you to repay the loan ahead of schedule by making lump sum payments. However, many banks charge early repayment penalties up to 2-3% of the principal amount outstanding. Prepayment penalty may vary according to the reasons and source of funds - if you obtain a loan from another bank for pre-payment the charges are usually higher than when you pay from your own sources. However, you may credit more than your EMI amount into your loan account on a periodic basis and bring down your interest burden as and when funds are available with you. Most banks do not charge a pre-payment penalty if you deposit more than your EMI payable on a periodic basis. Please check such stipulations while availing the loan."
How does one get information about the price of a G-Sec?,en,hard,"Once you have the price of the G-Sec, you can get access to it through the Internet. You can visit the website www.g-sec.com and go to the “Contact Us” section.
#",You can get information about the G-Sec by visiting the website of the Reserve Bank of India.,"The price of a G-Sec depends on a number of factors such as the type of security, the nature of the security, the nature of the security, the amount of the security, the nature of the transaction, the nature of the beneficiary, the nature of the transaction, the nature of the security to be transferred to the beneficiary, the nature of the security to be transferred to the beneficiary, and the nature of the transaction to be transferred to the beneficiary. The price of a security varies as per the maturity of the security, the maturity of the security, the","The price for the G-Sec is the same as the price of a VW Golf.
#","14.1 The return on a security is a combination of two elements (i) coupon income – that is, interest earned on the security and (ii) the gain / loss on the security due to price changes and reinvestment gains or losses. 14.2 Price information is vital to any investor intending to either buy or sell G-Secs. Information on traded prices of securities is available on the RBI website http://www.rbi.org.in under the path Home → Financial Markets → Financial Markets Watch → Order Matching Segment of Negotiated Dealing System. This will show a screen containing the details of the latest trades undertaken in the market along with the prices. Additionally, trade information can also be seen on CCIL website http://www.ccilindia.com/OMHome.aspx. On this page, the list of securities and the summary of trades is displayed. The total traded amount (TTA) on that day is shown against each security. Typically, liquid securities are those with the largest amount of TTA. Pricing in these securities is efficient and hence UCBs can choose these securities for their transactions. Since the prices are available on the screen they can invest in these securities at the current prices through their custodians. Participants can thus get near real-time information on traded prices and take informed decisions while buying / selling G-Secs. The screenshots of the above webpage are given below: NDS-OM Market The website of the Financial Benchmarks India Private Limited (FBIL), (www.fbil.org.in) is also a right source of price information, especially on securities that are not traded frequently."
Are the instructions on microfinance loans issued under various Directions applicable to all entities operating in the microfinance sector including trusts and societies?,en,hard,"No, the instructions issued under the Directions are applicable only to microfinance institutions operating in the UK, Ireland, Denmark or Sweden.
Q: How does the new guidance apply to the UK and Ireland?
#","The instructions applicable to all entities operating in the microfinance sector, including trusts and societies, are as follows:","Yes, the instructions are applicable to all entities operating in the microfinance sector including trusts and societies. However, the requirements for the Microfinance Act and the Microfinance Regulatory Framework (MRF) are applicable to all microfinance entities including trusts and societies. It is important to note that the guidelines for microfinance lenders are applicable to all microfinance entities. However, the guidelines for the regulatory framework are not applicable to trusts and societies. While the regulations are applicable to all entities, the guidelines for the regulatory framework are",Yes. The instructions on microfinance loans issued under various Directions applicable to all entities operating in the microfinance sector including trusts and societies do not apply to entities operating in the microcredit sector.,"The instructions on microfinance loans issued under various Directions are applicable only to the regulated entities mentioned below: All Commercial Banks (including Small Finance Banks, Local Area Banks, and Regional Rural Banks) excluding Payments Banks; All Primary (Urban) Co-operative Banks/ State Co-operative Banks/ District Central Co-operative Banks; and All Non-Banking Financial Companies (including Microfinance Institutions and Housing Finance Companies). However, it may be prudent for other lenders operating in the microfinance sector to follow customer-centric instructions for microfinance loans issued under various Directions. Further, it may be noted that exemptions from Sections 45-IA, 45-IB and 45-IC of the RBI Act, 1934 have been withdrawn for those ‘not for profit’ companies engaged in microfinance activities that have asset size of ₹100 crore and above."
What are the Do's and Don’ts prescribed by RBI for the Co-operative banks dealing in G-Secs?,en,hard,"The G-Secs are not a registered business entity, but they are an individual who creates a new company in the name of the same person. The G-Secs is a new company registered in the name of a co-operative banker only. The G-Secs have to follow strict rules and regulations to be legal and registered in the name of a commercial banker.",The Do's and Don’ts are:,The bank can also offer a variety of products in the following ranges: • G-Secs can be purchased in cash (on the day of the transaction) or on a deposit (on the day of the transaction) • The rate of interest on the G-Secs is fixed or fixed-rate. • The deposit can be of fixed or variable amount (the deposit can be between Rs. 200 and Rs. 999 /- • G-Secs can be withdrawn at any time by direct deposit • The bank can also accept cash deposits in the form of one-way deposit,"The Bank of India has a set of rules and regulations for the co-operative banks dealing in G-Secs. These rules and regulations are as follows:
1. The Co-operative Banks cannot be held in the hands of any other company, company under the supervision of any other company.
2. The Co-operative Banks shall not be held in the hands of any other company, company under the supervision of any other company.
3. The Co-operative Banks shall be held in the hands of either the Bank of India or any other company under the supervision of the same.","While undertaking transactions in securities, UCBs should adhere to the instructions issued by the RBI. The guidelines on transactions in G-Secs by the UCBs have been codified in the master circular DCBR. BPD (PCB).MC.No. 4/16.20.000/2015-16 dated July 1, 2015 which is updated from time to time. This circular can also be accessed from the RBI website under the Notifications – Master circulars section. The important guidelines to be kept in view by the UCBs relate to formulation of an investment policy duly approved by their Board of Directors, defining objectives of the policy, authorities and procedures to put through deals, dealings through brokers, preparing panel of brokers and review thereof at annual intervals, and adherence to the prudential ceilings fixed for transacting through each of the brokers, etc. The important Do’s & Don’ts are summarized in the Box I below. Do’s & Don’ts for Dealing in G-Secs Segregate dealing and back-office functions. Officials deciding about purchase and sale transactions should be separate from those responsible for settlement and accounting. Monitor all transactions to see that delivery takes place on settlement day. The funds account and investment account should be reconciled on the same day before close of business. Keep a proper record of the SGL forms received/issued to facilitate counter-checking by their internal control systems/RBI inspectors/other auditors. Seek a Scheduled Commercial Bank (SCB), a PD or a Financial Institution (FI) as counterparty for transactions. Give preference for direct deals with counter parties. Insist on Delivery versus Payment for all transactions. Take advantage of the NCB facility for acquiring G-Secs in the primary auctions conducted by the RBI. Restrict the role of the broker only to that of bringing the two parties to the deal together, if a deal is put through with the help of broker. Have a list of approved brokers. Utilize only brokers registered with NSE or BSE or OTCEI for acting as intermediary. Place a limit of 5% of total transactions (both purchases and sales) entered into by a bank during a year as the aggregate upper contract limit for each of the approved brokers. A disproportionate part of the business should not be transacted with or through one or a few brokers. Maintain and transact in G-Secs only in dematerialized form in SGL Account or Gilt Account maintained with the CSGL Account holder. Open and maintain Gilt account or dematerialized account Open a funds account for securities transactions with the same Scheduled Commercial bank or the State Cooperative bank with whom the Gilt Account is maintained. Ensure availability of clear funds in the designated funds accounts for purchases and sufficient securities in the Gilt Account for sales before putting through the transactions. Observe prudential limits and abide by restrictions for investment in permitted non-SLR securities (Prudential limit : shall not exceed 10% of the total deposits of bank as on March 31 of the preceding financial year) ( Instruments : (i) “A” or equivalent and higher rated CPs, debentures and bonds, (ii) units of debt mutual funds and money market mutual funds, (iii) shares of market infrastructure companies eg. CCIL, NPCI, SWIFT). The Board of Directors to peruse all investment transactions at least once a month Do not undertake any purchase/sale transactions with broking firms or other intermediaries on principal to principal basis. Do not use brokers in the settlement process at all, i.e., both funds settlement and delivery of securities should be done with the counter-parties directly. Do not give power of attorney or any other authorisation under any circumstances to brokers/intermediaries to deal on your behalf in the money and securities markets. Do not undertake G-Secs transaction in the physical form with any broker. Do not routinely make investments in non-SLR securities (e.g., corporate bonds, etc) issued by companies or bodies."
यदि किसी अनिवासी के खाते में या खाते से भारत में किसी प्राधिकृत व्यापारी बैंक के साथ लेनदेन करना हो तो क्या एल.ई.आई. प्राप्त करना अनिवार्य है?,hi,easy,"आपको एल.ई.आई प्राप्त करना अनिवार्य नहीं है.
#",एल.ई.आई. प्राप्त करने वाले व्यक्तियों को एल.ई.आई. के जरिए लेनदेन करने की क्षमता होती है।,"नहीं। एलईडी प्राप्त करना अनिवार्य है, लेकिन प्राधिकृत व्यापारी बैंक की विदेशी मुद्रा व्यवस्था में पंजीकरण की सुविधा के लिए विदेशी मुद्रा लेनदेन के लिए केवल भारत","जी हाँ, एल.ई.आई. प्राप्त करना अनिवार्य है।","उत्तर. यदि किसी अनिवासी के भारत में रखे खाते में या खाते से कोई क्रेडिट अथवा डेबिट किसी निवासी के साथ लेनदेन के परिणामस्वरूप होता है तो उस पर विदेशी मुद्रा प्रबंध अधिनियम, 1999 (फेमा) के प्रावधान लागू होते हैं अतः ऐसे मामलों में उक्त परिपत्र में निहित प्रावधान भी लागू होंगे।"
क्या 'पूर्ण-केवाईसी' पीपीआई से निधि अंतरण की अनुमति है?,hi,easy,"हाँ. निधि अंतरण की अनुमति पीपीआई से की जाती है.
#",पीपीआई से निधि अंतरण की अनुमति है जो लघु-केवाईसी (एफपीआई) के लिए उपलब्ध है।,"उत्तर: हां, पीपीआई से निधि अंतरण की अनुमति है। इस तरह के पीपीआई के रूप में कोई भी निधि जारी करने और हस्तांतरण करने की अनुमति नहीं है। सभी पीपीआई जारी करने और कार्यालय के संविदा खाते में ह","हाँ, पीपीआई केबल के साथ संचालित किया जा सकता है। इसका मतलब यह नहीं है कि आप अपने पीपीआई केबल को केवल शोध, विकास, निर्माण और संचालन के लिए उपयोग कर सकते हैं। आपके पीपीआई केबल के लिए संचाल","उत्तर. हां, एक 'पूर्ण-केवाईसी' पीपीआई से प्रति धारक ₹10,000/- प्रति माह की सीमा के भीतर निधि अंतरण की अनुमति है। तथापि, पीपीआई धारक द्वारा लाभार्थी के 'पूर्व-पंजीकृत' होने पर प्रति लाभार्थी ₹2,00,000/- प्रति माह तक की बढ़ी हुई सीमा का लाभ उठाया जा सकता है। तथापि, पीपीआई जारीकर्ता पीपीआई धारक के जोखिम प्रोफाइल, अन्य परिचालनगत जोखिमों आदि को ध्यान में रखते हुए एक न्यूनतम सीमा निर्धारित कर सकता है।"
"क्या प्राधिकृत गैर-बैंक पीएसपी, जो प्रत्यक्ष सदस्य हैं, सीपीएस में उप-सदस्यों के रूप में अन्य बैंकों/पीएसपी को प्रायोजित कर सकते हैं?",hi,easy,"यह बैंक मामले में प्रायोजित सदस्यों के लिए है।
#","ऐसा करने के लिए, RBI को प्राधिकृत सदस्यों के रूप में सीपीएस में उप-सदस्यों का प्रावधान है।","नहीं। उदाहरण के लिए, सीपीएस में उप-सदस्यों को प्रत्यक्ष सदस्यों के रूप में निम्नलिखित प्रणालियों का पालन करना होगा:
### जवाब: सीपीएस के अन्य सदस्यों को शामिल करना होगा, जिन्हें ब",भारतीय स्टेट बैंक में सीपीएस में उप-सदस्य किए जाने की संभावना है और कई अन्य बैंकों में भी हो सकती है। अगर आपको इन बैंकों का प्रतिनिधित्व मिले तो आपको अधिक राशि के लिए प्रतिनिधित्व,उत्तर. गैर-बैंक पीएसपी को केवल सीपीएस की प्रत्यक्ष सदस्यता की अनुमति होगी। उन्हें सीपीएस में उप-सदस्य के रूप में किसी भी बैंक/पीएसपी को प्रायोजित करने की अनुमति नहीं होगी।
आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया क्या है?,hi,easy,"आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया स्वतः ही की जाती है।
Q.6) खाते में रुपये निकालने की प्रक्रिया क्या है?
A. रिटर्न की प्रक्रिया को बाद में शु",आरबीआई ओम्बड्समैन को शिकायत दर्ज करने की प्रक्रिया आरबीआई की वेबसाइट पर उपलब्ध है।,उत्तर: उत्तर: सीएए के तहत शिकायत दर्ज करने की प्रक्रिया को सीएए के अनुरूप निर्देशित किया गया है। व्यक्ति को शिकायत की जानकारी आधिकारिक वेबसाइट पर उपलब्ध है। बैंक के बारे में निर,"इसे कृपया निम्न दिए गए लिंक को सेंड करें:
##","शिकायत निम्नलिखित किसी भी तरीके से दर्ज की जा सकती है: ऑनलाइन – आरबीआई की शिकायत प्रबंध प्रणाली (सीएमएस) पोर्टल (https://cms.rbi.org.in) के माध्यम से। योजना के अनुबंध ‘क’ में निर्दिष्ट फार्म में ‘केंद्रीकृत प्राप्ति और प्रसंस्करण केंद्र, 4थी मंजिल, भारतीय रिज़र्व बैंक, सेक्टर-17, सेंट्रल विस्टा, चंडीगढ़ – 160017’ को भौतिक रूप से पत्र या पोस्ट के माध्यम से। पूर्ण विवरण के साथ शिकायतें (कृपया नीचे प्रश्न 17 देखें) crpc@rbi.org.in को ईमेल द्वारा भेजी जा सकती हैं।"
क्या अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए?,hi,easy,"हाँ, आपको आपकी वेबसाइट पर विवरण अपलोड करने की आवश्यकता नहीं है। इसके अलावा, विवरणों को विस्तारित करने के बाद, आपको अपने कार्य के प्रकार के लिए संदर्भ अपलोड करने की आवश्यकता है क्योंकि आपके",क्योंकि अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए।,उत्तर: नहीं। यदि निवेशक वेबसाइट पर अपना स्वयं का स्थानांतरण कर रहा है तो जारी किए गए सारे वेबसाइट के लिए निवेश और उनके बाद से संबंधित बैंकों के द्वारा जारी किए गए सारे निवेश का,"हाँ, निम्नलिखित तरीके से मुफ्त में आपको अपलोड किया जा सकता है:
1. वेबसाइट पर लाइव मार्केटिंग
2. वेबसाइट पर पोर्टफोलियो को डिजाइन करने के लिए एक टेक्स्ट
3. सॉफ्टवेयर","हाँ, सरफेसी अधिनियम, 2002 की धारा 13 (4) के अंतर्गत चल और अचल दोनों प्रतिभूति आस्तियां, जिस पर चल संपत्ति के मामले में प्रतिभूति (प्रवर्तन) नियम 2002 के नियम 3 (1) अथवा नियम 6 (2) और अचल संपत्ति के मामले में नियम 8 (2) के अनुसार पहले से ही समाचार पत्रों में सूचना प्रकाशित हो चुकी है, ऐसी प्रतिभूति आस्तियों को आरई की वेबसाइट पर प्रकाशित किया जाना चाहिए।"
क्या वैयक्तिक सुनवाई के लिए उपस्थित होना अनिवार्य है?,hi,hard,"कोई भी सुनवाई के लिए उपस्थित होना अनिवार्य नहीं है। यह स्पष्ट है कि वास्तव में कोई भी सुनवाई नहीं होगी। परिणामस्वरूप, अगर कोई सुनवाई के लिए उपस्थित हो रहा है और अजीब से अजीब स",सुनवाई के लिए उपस्थित होना अनिवार्य नहीं है।,"उत्तर: नहीं, स्पष्टीकरण और सुझाव के लिए विनियमित सुनवाई के लिए उपस्थित होने की आवश्यकता नहीं है। प्रत्येक मुद्दे के लिए किसी भी बैंक के लिए विनियमित सुनवाई की आवश्यकता नहीं ह","हाँ, साथ ही साथ आप आम तौर पर उपस्थित होने के लिए आवश्यक हैं।
#","उत्तर: वैयक्तिक सुनवाई या तो भौतिक रूप से या वर्चुअल माध्यम से की जा सकती है। यद्यपि, वैयक्तिक सुनवाई के लिए उपस्थित होना या इसका विकल्प चुनना अनिवार्य नहीं है। यदि कोई व्यक्ति व्यक्तिगत सुनवाई के लिए उपस्थित न रहने का विकल्प चुनता है तो वह अपनी इच्छा/ पसंद (preference) के बारे में लिखित सूचना देनी होगी। ऐसे में, शमन प्राधिकारी को प्रस्तुत दस्तावेजों के आधार पर आवेदन पत्र का निपटान किया जाएगा। तथापि, यह नोट किया जाए कि मामले में स्वयं उपस्थित होने अथवा न होने का विकल्प देने से शमन आदेश में लगाई गई शमन राशि पर कोई असर नहीं पड़ता है, क्योंकि शमन राशि की गणना ‘निदेश- फेमा 1999 के तहत उल्लंघनों का शमन’ में निहित कम्प्यूटेशन मैट्रिक्स पर मार्गदर्शी टिप्पणी के पैरा 5.4 के आधार पर किया जाता है। प्रश्न 11. क्या आवेदक वैयक्तिक सुनवाई के लिए उपस्थित रहने हेतु किसी अन्य व्यक्ति को प्राधिकृत कर सकता है? उत्तर: हाँ! आवेदक वैयक्तिक सुनवाई के लिए उपस्थित रहने हेतु अपनी ओर से किसी अन्य व्यक्ति को केवल उचित लिखित प्राधिकार-पत्र के साथ प्राधिकृत कर सकता है। यह सुनिश्चित करना होगा कि आवेदक की ओर से उपस्थित होने वाला व्यक्ति उल्लंघन के स्वरूप और उससे संबंधित विषय से भली भाँति परिचित हो। हालांकि, रिज़र्व बैंक व्यक्तिगत सुनवाई के लिए आवेदक द्वारा किसी प्रतिनिधि को भेजने/ विधि विशेषज्ञ/ कंसल्टैंट, आदि को साथ लाने के बजाय उसे स्वयं उपस्थित होने के लिए प्रोत्साहित करता है क्योंकि शमन तो स्वयं स्वीकार किए गए उल्लंघनों का ही किया जाता है। प्रश्न 12. शमन प्रक्रिया का निष्कर्ष किस तरह निकाला जाता है? उत्तर: शमन प्राधिकारी द्वारा एक आदेश पारित किया जाता है जिसमें उल्लंघन तथा फेमा, 1999 के उन प्रावधानों, जिनका उल्लंघन किया गया है, का ब्योरा दिया जाता है। इस शमन आदेश में ही शमन राशि भी दर्शायी जाती है। शमन आदेश में निर्दिष्ट शमन राशि का भुगतान कर दिए जाने पर शमन की प्रक्रिया पूरी होती है। प्रश्न 13. शमन राशि की गणना के मानदंड क्या हैं? उत्तर: शमन पर लगाई जाने वाली दंड की राशि की गणना संबंधी मार्गदर्शी सिद्धांत ‘निदेश- फेमा 1999 के तहत उल्लंघनों का शमन’ के पैरा 5.4 में दिया गया है। तथापि, यह नोट किया जाए की उपर्युक्त मार्गदर्शी ढांचा केवल विभिन्न कार्यालयों में शमन प्राधिकारियों द्वारा लगाई जाने वाली दंड की राशि को मोटे तौर पर मानकीकृत करने के प्रयोजन के लिए है तथा दंड की वास्तविक राशि भिन्न हो सकती है जो जो कि ‘निदेश- फेमा 1999 के तहत उल्लंघनों का शमन’ के पैरा 5.3 में उल्लिखित कारकों की दृष्टि से मामले की परिस्थितियों पर निर्भर करती है। प्रश्न 14. आदेश में दी गयी राशि का भुगतान कब किया जाए? उत्तर: शमन आदेश में उल्लिखित शमन राशि का भुगतान ‘भारतीय रिज़र्व बैंक’ के पक्ष में आहरित डिमांड ड्राफ्ट के माध्यम से अथवा राष्ट्रीय इलेक्ट्रॉनिक निधि अंतरण (NEFT) या तत्काल सकल निपटान (RTGS) के माध्यम से अथवा किसी अन्य स्वीकार्य इलेक्ट्रॉनिक या ऑनलाइन भुगतान माध्यम से ऐसे उल्लंघन के शमन आदेश की तारीख से 15 दिनों के भीतर किया जाना चाहिए। डिमांड ड्राफ्ट किस प्रकार आहरित और जमा किया जाना है/ इलेक्ट्रॉनिक भुगतान माध्यमों से निधि अंतरण के लिए बैंक खाते का ब्योरा शमन आदेश में दर्शाया जाएगा। प्रश्न 15. शमन आवेदन को अंतिम निपटान किस प्रकार किया जाता है? उत्तर: जिस उल्लंघन का शमन किया गया है, उसके लिए निर्धारित शमन राशि की प्राप्ति हो जाने पर रिज़र्व बैंक द्वारा एक प्रमाणपत्र जारी किया जाएगा जिसमें लिखा होगा कि आवेदक ने शमन प्राधिकारी द्वारा पारित आदेश का अनुपालन कर लिया है। प्रश्न 16. यदि आदेश की तारीख से 15 दिनों के भीतर रकम अदा नहीं की जाती, तो क्या होता है? उत्तर: यदि आदेश की तारीख से 15 दिनों के भीतर रकम अदा नहीं की जाती है तो यह समझा जाएगा कि आवेदक ने रिज़र्व बैंक को शमन के लिए कभी आवदेन किया ही नहीं था और उल्लंघन के संबंध में फेमा, 1999 के अन्य उपबंध लागू होंगे। ऐसे मामले आवश्यक कार्रवाई के लिए प्रवर्तन निदेशालय को संदर्भित किए जाएंगे। प्रश्न 17. क्या शमन प्राधिकारी के आदेश के विरुद्ध कोई अपील की जा सकती है? उत्तर: चूँकि शमन की कार्यवाही स्वैच्छिक रूप से स्वीकार और प्रकट किए गए उल्लंघनों वाले मामलों में ही की जाती है, अत: विदेशी मुद्रा (शमन कार्यवाही) नियम, 2024 के अंतर्गत शमन प्राधिकारी के आदेश के विरुद्ध अपील करने अथवा लगाए गए दण्ड की राशि को कम करने अथवा दण्ड की राशि के भुगतान के लिए और अधिक समय देने संबंधी अनुरोध हेतु कोई प्रावधान नहीं किया गया है। प्रश्न 18. शमन प्रक्रिया को पूरा करने की समय-सीमा क्या है? उत्तर: रिज़र्व बैंक को सभी प्रकार से पूर्ण आवेदन पत्र की प्राप्त होने की तारीख से 180 दिनों के भीतर शमन प्रक्रिया पूरी की जाती है। प्रश्न 19. शमन के संबंध में और अधिक ब्योरा कहाँ मिलेगा? उत्तर: इस संबंध में रिज़र्व बैंक की वेबसाइट पर उपलब्ध ‘निदेश- फेमा 1999 के तहत उल्लंघनों का शमन’ का संदर्भ लिया जा सकता है।"
फ्रैंचाइज़ी करार की मुख्य विशेषताएं क्या हैं?,hi,hard,"फ्रैंचाइज़ी एक निवेश के लिए स्थापित किए गए समूह हैं। यह एक सेवा संस्थान है जो निवेश के लिए निवेश सलाहकारों की एक सेवा प्रदान करता है। यदि आपको फ्रैंचाइज़ी का लाभ मिलता है,",भारतीय शेयर बाजार में फ्रैंचाइज़ी करार पर प्रतिबंध लगाकर व्यापारियों की निराशा होती है।,"वर्तमान में, फ्रैंचाइज़ी कंपनियों के संचालन निदेशकों द्वारा स्वीकार किए जाने वाले योजनाओं को प्राथमिक रूप से पूर्ण होने के बाद और अन्य कार्रवाई के बाद किया जाएगा। फ","कार्पोरेट करारों में विशेषताएं दो कारकों का परिचय देती हैं:
- मुख्य विशेषता (अन्य करारों के मुकाबले)
- कक्षा (विशिष्ट करारों के मुकाबले)। कक्षा के तत्वों में कार","इस योजना के तहत, रिज़र्व बैंक एडी श्रेणी-I, एडी श्रेणी-II और एफएफएमसी को उनके विकल्प पर सीमित मुद्रा परिवर्तन कारोबार अर्थात विदेशी मुद्रा नोटों, सिक्कों या यात्री चेकों का परिवर्तन भारतीय रुपये में करने के उद्देश्य से एजेंसी या फ्रैंचाइज़ी समझौता करने की अनुमति देता है। फ्रैंचाइज़ी कोई भी ऐसी इकाई हो सकती है जिसके पास कारोबार करने का स्थान हो और जिसकी निवल स्वामित्व निधि न्यूनतम 10 लाख रुपये हो। फ्रैंचाइजी केवल प्रतिबंधित मुद्रा परिवर्तन व्यवसाय ही कर सकते हैं। फ्रैंचाइज़र के रूप में कोई एडी श्रेणी-I बैंक / एडी श्रेणी- II / एफएफएमसी को यह स्वतंत्रता होगी कि वह फ्रैंचाइज़ी के साथ आपसी समझौते के माध्यम से इस व्यवस्था की समयावधि और कमीशन अथवा शुल्क के संबंध में निर्णय ले सके। किए जाने वाले एजेंसी/फ्रैंचाइज़ी करार में निम्नलिखित मुख्य विशेषताएं शामिल होनी चाहिए:- ए. फ़्रैंचाइज़ी को अपने फ़्रैंचाइज़र का नाम, विनिमय दर के साथ-साथ इस बात को भी प्रदर्शित करना होगा कि वे केवल विदेशी मुद्रा खरीदने के लिए अधिकृत हैं, मुख्य रूप से अपने कार्यालयों में । विदेशी मुद्रा को रुपये में बदलने के लिए विनिमय दर एडी श्रेणी-I बैंक/प्राधिकृत व्यापारी श्रेणी-II/ एफएफएमसी द्वारा उनकी शाखाओं में लगायी जाने वाली दैनिक विनिमय दरों के समान या उसके करीब होनी चाहिए। बी. फ्रैंचाइजी द्वारा खरीदी गई विदेशी मुद्रा को खरीद की तारीख से 7 कार्य दिवसों के भीतर उसके फ्रैंचाइज़र के पास ही सौंपा जाना चाहिए। सी. फ्रैंचाइज़ी द्वारा लेनदेन का अभिलेख समुचित रूप से रखना । डी. फ़्रैंचाइज़र द्वारा फ़्रैंचाइजी का ऑन-साइट निरीक्षण वर्ष में कम से कम एक बार किया जाना चाहिए।"
